context,question,answer
W.  Evans9th L. H.  Regiment. 4,What is this about?,W
"6. 8. 1918My dear mother,Here I am again starting another letterto you but this time I fear without any news at allto tell you.  We are still in the same spot in the valley& have had rather a sweltering week, but it has cooledoff today a good deal.  I have been kept fairly busywith my mosquito work to do & various other tasksin the office & so on",What is this about?,6
1st LieutI wrote earlier but did not dare send it in viewof circumstances - but look up the papers of this dateet sequ.  Just recd word that Hancock & Ihave recd.  our second stars - so are now fullblown Lieutenants. I hope to write next week from elsewhere -but this must suffice at present. Good luck - best love,What is this about?,1st LieutI wrote earlier but did not dare send it in viewof circumstances - but look up the papers of this dateet sequ
"A"" COMPANY,No.  4 Officer Cadet Battn. ,NEW COLLEGEOXFORD. 17/11/1917Dear General Birdwood,I have just noticedin the ""Times"" that youhave received, at last,well-earned promotion,and I hasten to congratulateyou. At the same time theparagraph was misleadingto me",What is this about?,"A"" COMPANY,No"
"Fri.  Aug.  2, 1918 Weather: Raining, Warm Health: Good Hike 30 Kilometers to . .",What is this about?,Fri
"May 12, 1918 Rained all day.  Went from wagon lines to Poperinge, road about the town.  Very nice churches.  Place has been shelled but not to great extent.",What is this about?,"May 12, 1918 Rained all day"
"My own darling Jenny JaneWe have been rather cut off from the outside worldfor the last few days by a South-Westerly wind which hasmade landing extraordinarily difficult & done a lot of damage toour boats &piers.  As it was really quite wild, one begins tosee what things may be like in the winter when we maybe entirely cut off for days & almost weeks from any communicationsof any sort! A lively sort of existence if it comes about!I haven't any more news at present as we are now likely to have tosettle down for a bit before any other move can be contemplated& I am waiting for Bingo Byng on my left to be ready & able toshove on.  I hear that Col.  Cole was wounded over there on 21stlast month, but I have heard no particulars - in the shoulder Ibelieve but not very bad.  I had just been asking that he mightbe given a Brigade command",What is this about?,My own darling Jenny JaneWe have been rather cut off from the outside worldfor the last few days by a South-Westerly wind which hasmade landing extraordinarily difficult & done a lot of damage toour boats &piers
"BRUSILOV OFFENSIVE The Russian Army had suffered a series of crushing defeats in the first year of the war, but the Brusilov Offensive (4 June - 20 September 1916) would be the most successful Russian offensive and one of the most successful breakthrough operations of theFirst World War(""https://www. iwm. org. uk/history/first-world-war"").  Named after the Russian commanderAleksei Brusilov(""https://en",What is this about?,"BRUSILOV OFFENSIVE The Russian Army had suffered a series of crushing defeats in the first year of the war, but the Brusilov Offensive (4 June - 20 September 1916) would be the most successful Russian offensive and one of the most successful breakthrough operations of theFirst World War(""https://www"
Australian Red Cross Society(A. R. C. S)Red Cross Rest RoomS.  S,What is this about?,Australian Red Cross Society(A
"Tue.  Dec.  18, 1917 Weather: cloudy, mild Up at 6:00.  Reveille 6:15.  Made bed",What is this about?,Tue
"Wednesday 28th April, 1915.  Fine weather but getting out into theocean - fine swell on - plenty ofbut no seasickness. New organisation of parades - enjoafternoons work.  Sgt Rowbottom keeptroop deck in excellent condition. Days appreciably get much hotter",What is this about?,"Wednesday 28th April, 1915"
"EDEN PALACE HOTEL, CAIRO.  Dieses altbekannte Hotel ersten Ranges wurde vollstndig neu eingerichtet unddurchwegs renoviert, so dass es jetzt den wirklichen Komfort eines Hotelsersten Ranges bietet und in ihm niemand sein Heim vermissen wird. Durch seine Lage mitten in der Stadt, gegenber dem herrlichen Esbekieh-Garten und in nchster Nhe der Oper und der grossen Banken, Post- und Tele-graphenbureaux, Cook's Office, etc. , eignet es sich vorzglich zu einem Aufenthaltfr Familien.  Von der Veranda aus kann man das Leben und Treiben Cairosbetrachten wie sonst von keinen anderen Hotel",What is this about?,"EDEN PALACE HOTEL, CAIRO"
"Alexandria,March 1st, 1915. My Own Little Girl,It is now 5pm & we are likely topull off at any time.  I posted No 16 fromCairo but as late orders came out that allletters were to be censored it may havebeen held up on that account.  I sentyou a postcard to this effect. We left Mena at 8 o'clock last night marchinginto Cairo where we waited for a coupleof hours in the square of the Kasr el Nilbarracks at present occupied by a regimentof Lancaster Terriers",What is this about?,"Alexandria,March 1st, 1915"
"Mon.  Jul.  8, 1918 Weather: Fair, Warm Health: Poor Up at 2:00.  Stomach full of gas and knees weak.  I must leave my post twice in one hour, in charge of men coming back from duty on posts",What is this about?,Mon
"June17thOn boardKaroolaPass it on toJack please,In hastelove Delice McILWRAITH, McEACHARNLINE. ""T. S. S.  KAROOLA,""My dear mother & all the Evans Thomasfamily,I hope you will pardonmy more than usually vile writingbut the ship is kicking about withsuch vigor that I have much troublein remaining firm on my seat",What is this about?,"June17thOn boardKaroolaPass it on toJack please,In hastelove Delice McILWRAITH, McEACHARNLINE"
"Aden - hot sun, endless sand.  Dear Bertie, Many thanks for your long and interesting letter, which has now reached me, I will to it at length at a more opportune moment.  As you will see by above address I have left India.  The regiment left the N. W",What is this about?,"Aden - hot sun, endless sand"
"May 3, 1918 Very quiet until about 7 p. m.  Then a very heavy cannonade lasting until 9 p. m.  Expecting an attack in early morning",What is this about?,"May 3, 1918 Very quiet until about 7 p"
"Sunday.  April 14, 1918 Weather: fair, warm, sea calm Health: cold no better At Sea Boys of our Company detailed to study launching of lifeboats and assisting in everything.  Up at 6:00.  On deck for Reveille.  Downstairs to wash",What is this about?,Sunday
"Dearest Mother & all at Home,I received another most welcomeletter from you & Mab, also a Table Talk & Punch so thisgives us great joy & helps to fill in the time beautifully. I cannot tell you what joy it gives me to get your lovelylong letters & I read them over & over again.  It is just the samewith the rest of the boys, & on Mail days, one can find a chapin every little corner having a quiet little read. I am pleased to tell you that I am in the very best of nick &I hope you are all in the same health at home. We are still keeping the Flag flying here & defy the Turksto leave, & just to be nasty, we are going to bundle them outneck & crop shortly",What is this about?,"Dearest Mother & all at Home,I received another most welcomeletter from you & Mab, also a Table Talk & Punch so thisgives us great joy & helps to fill in the time beautifully"
"Dear Sir William Birdwood,1.  I want first of all to convey to youmy best congratulations on the Honour which His Majestythe King has conferred upon you on the occasion of hisBirthday. 2.  Knowing the interest which youtake in everything concerning New Zealanders, and also forobvious reasons which I shall give, I want to tell you thatthere is considerable annoyance here over the raising of theadditional Fourth Brigade, a step which my Ministers neverapproved of, although under certain stipulations they allowedit to be formed, the most stringent stipulation being thatthis Government would not provide any reinforcements for theBrigade, and that the reinforcements for the New ZealandDivision must not be depleted.  The position now is, that ifany reinforcements are required for the New Zealand Divisionover and above what are being now sent, the Brigade has got tobe disbanded, the reason being that the New Zealand Governmentare determined to carry out the obligations which they imposedupon themselves and which represent the maximum which theyconsider they can do : they will run no risk of failing",What is this about?,"Dear Sir William Birdwood,1"
"No I Aust.  Gen.  Hospital,Heliopolis,9. 1. 1916",What is this about?,No I Aust
"Letter from storekeeper,2 December 1915.  From Mithan Lal, Storekeeper, Convalescent Home, New Milton, to Maulvi Abdul Jabar Sahib, Ballygunj, Calcutta.  (Urdu, 2/12/15).  Alas, we are not free to go about at will.  In fact we Indians are treated like prisoners",What is this about?,"Letter from storekeeper,2 December 1915"
"Wednesday April 24, 1918 Weather: Damp, Cold Health: Slight headache and footsore Up at 6:00.  Very sore feet.  Bathe them and change socks.  Wash.  Go up for reveille",What is this about?,"Wednesday April 24, 1918 Weather: Damp, Cold Health: Slight headache and footsore Up at 6:00"
"My dear General, Many thanks for your letter of the 29th October.  Will you permit me to congratulate you and allassociated with you on the result of the withdrawal operationswhich we have just heard have been so successfully carried out?Our 2nd Hospital ship, the ""Marama"", left here onDecember 5th.  I do not actually know what her destination willbe : I am rather in hopes that she will fetch up somewhere inyour locality, but the Imperial Authorities have been impressingupon me the necessity of having Hospital Ships to carry thewounded between Suez and New Zealand and between Suez andAustralia, and she may be detailed for that work, although Igather from what Cowans tells me that it will not debar herfrom going into the Mediterranean.  After all, as one wasbound to put the Hospital Ships at the disposal of theImperial Government to use wherever they thought best, I didnot think it advisable to make too many stipulations, thoughI have asked, if it is found possible, that the Ships shouldbe used as far as practicable for the benefit of New Zealanders.  I have also said that my Government would never agree to anyof the doctors, nurses, or personnel being taken off any of theShips",What is this about?,"My dear General, Many thanks for your letter of the 29th October"
"5th & 6th Training BattalionsZeitoun,Cairo,July 24th, 1915. My dear mother,You will observe achange of address above but pleaseaddress all letters as before to the 1stAust.  General Hospital, HeliopolisCairo.  I think I told you in my lastletter of our trip at the Red Sea.  Wearrived at Suez on the 17th & disembarkedon the 18th July & on that day I had anopportunity of going through Suez",What is this about?,"5th & 6th Training BattalionsZeitoun,Cairo,July 24th, 1915"
"Mon.  Dec.  17, 1917 Weather: fair, mild On train 12:10.  Snowing.  Met Sam",What is this about?,Mon
"13.  6.  16My dear mother,Since I last wrote you we had an Australianmail or rather I believe it was just before I wrote &I somehow think I forgot to mention it in tellingyou about Cairo.  I had two letters from youone from Linda & one from Mab, a SydneyMail from Ern & Herald from Harry.  I was sorrythat you had not received letters from me & sincerelyhope that the rumor was untrue that you our letterswould be stopped for 2 months",What is this about?,13
"Thu.  Aug.  1, 1918 Weather: Fine, Warm Health: Good Lots of cooties Up at 7:00.  Breakfast.  Bacon, bread, coffee",What is this about?,Thu
"9th Light Horse Regiment,Anzac,November 15th 1915My dear mother,I am so glad to say that I had a mailyesterday containing two letters from you, one from Mab& one from Cedric Job.  It was delightful to hear fromyou again after a break of seven weeks.  Your letterswere dated 8th & 16th of September & had been re - addressedfrom Cairo.  Reading the news of your doings, with Ern &Alice spending their holiday with you brought Candeloso near & all that it contains - I could so wellimagine you staying at home & Ern minding thenippers while the others went to the patriotic meeting inthe School of Arts, & I was glad to hear of your takingcare of yourself.  We are dodging along here in muchthe same style as usual, making no attacks& receiving none, the men are for the most part engagedin improving the trenches & communications",What is this about?,"9th Light Horse Regiment,Anzac,November 15th 1915My dear mother,I am so glad to say that I had a mailyesterday containing two letters from you, one from Mab& one from Cedric Job"
"13th November 1917. My dear GeneralMay I offer you myvery best congratulations onyour new promotion and therecent high honour - I didnot know of either when Isaw you the other day - &did not say anything aboutthem. You know how we all feelthat these things have beenvery late in coming to you and how delighted everybodyis that at last you aregetting things you havedeserved for so long. I hope you are going. to take a little time offnow - you have had avery strenuous time, andyou need a short rest atany rate",What is this about?,13th November 1917
"September 3rd, 1914. 14 Bertram StreetSouth ShieldsMy dearest JackOnly a fewlines Hoping that you arestill keeping in good healthas this leaves me at presentbut Jack England is interrible trouble with Thisawfull War God Knowshow it is all going to endit is awful to think about it, thepeople here are terrifiedfor if the Germans got intoEngland They will stick atnothing look at the terribleatrocities that they havecomited in Belgium & theywill do worse here for they hate theEnglish for taking the part of Francewe have been waiting for newssince Sunday but heard nothingyet I can tell you that itsmaking the people very anxiouswe have already lost about6000 Soldiers & God knows howmany poor Souls will havegone by now What a lot ofyoung fellows are enlistingShields is full of Soldiers& terretorials They are guardingall the principal places & thisplace is full of German spiesI heard today that Tisher of thePork Shop in Frederick has beencaught sending carrier pigeonto Germany What do you thingof Naturalised British subjectsthey want hanging it too good an example of them Our Navyhad a Battle with theGermans & they sank 5 ofThere ships but we hopethat our fleet will be ableto keep the Germans out ofEngland My dear JackI am thankfull that you areaway from here now butI hope that this War willsoon be over & things goquietly again for its terribleto think on what might happenbut we will just live inHope & trust for the bestI sent you some papers lastweek & I am sending some justnow so that I hope that youwill get them but they willbe stale news when you getthem for you get all the newsin Australia but Australiaresponding handsome to helpEngland but all Countries aredoing the same & good luckto them for they that thinkEngland if fighting a justcause & surely to God theright should win Now mydearest Lad I wonder if thiswar will keep me from seeingyou again I hope notbut I will live in the HopeNow my dear son I will haveto stop for I am broken hearted& I cannot settle I am worriedto death & I cant help itNow with Love & Best wishesfrom your ever loving & affectionate,Mother. Good night & God bless you& take care of you ifwrite soon for I feel crazyfor them They should be rostedalive the traitors & make",What is this about?,"September 3rd, 1914"
"Mena Camp, Cairo. Tuesday, February 23, 1915.  My Darling Little Wife,What a day oh what a day.  Think,10 letters & 76 papers to-night! I can't realiseit.  And your wonderful letter It hasbeen well worth waiting a fortnight forIt is now just after 9 and it has been wasannounced 2 minutes ago that a mailis being closed for Australia at 10 - aFrench special I suppose",What is this about?,"Mena Camp, Cairo"
"29.  8.  1916. My dear mother,Mail arrived last night & thoughI received no letters from you or the family Ireceived that boncer billy & a fine parcel ofbooks from Harry.  I think the billy should havecome last mail, for parcels are generally a littlelate & probably New South Wales letter bag did notarrive with the others",What is this about?,29
"20. 11. 1917 My dear mother,This is the first line I have attemptedto write for about 3 weeks since we started off on our expeditioninto Palestine which has so far gone very successfully.  I cannothope to tell you very much just now, as we may move again at anymoment.  Before I commence though, I met Jack abouttwo weeks ago in Beersheba when he was watering his mulesvery tired & dusty, but otherwise well",What is this about?,20
S. S.  Karoola. June 16th.  1915,What is this about?,S
"Zeitoun,August 29th, 1915.  My dear mother,you may receive my lastletter at the same time as this, but Ihope that it managed to catch somemail or other that I did not know of. I'm afraid this will be a short letteras there is very little extra to tell you. I have been however to another of theinteresting places in Egypt - the nativebazaar.  It is situated not veryfar from the centre of the city, & thestreet which leads to it the El Mooskiis one of the main streets of the nativepart of the town & one of the oldestbut is exceedingly narrow",What is this about?,"Zeitoun,August 29th, 1915"
"The Mosque, Waking Surrey, 19th December 1914 Your Majesty, May I venture most humbly to bring to your notice the existence of a grave danger at the present crisis.  The Press have issued cartoons and articles in which the Muslim creed, and the Sultan (its Caliph) have been held up to ridicule.  The educated can smile at the humour, but although as far as the Sultan goes he is now the enemy of your Majesty and consequently of ours as your loyal subjects, yet we feel hurt and astonished by the misuse of the word Mahomedan.  The Indian soldiers have had copies of these periodicals sent to them; these journals have been circulated throughout the East, and a very unfavourable impression has been produced.  We beg your Majesty to use your influence to put a stop to this danger and when Muslims are giving all in your service, we feel sure that it is not your Majestys wish to see our Holy Faith held up to ridicule and our feelings consequently hurt",What is this about?,"The Mosque, Waking Surrey, 19th December 1914 Your Majesty, May I venture most humbly to bring to your notice the existence of a grave danger at the present crisis"
"Mon.  Jul.  1, 1918 Weather: Fair, Warm Health: Good After breakfast- ""Who will get flowers for our table?"" I will.  Beautiful roses across the street.  I get some",What is this about?,Mon
Banked to Wilfred.  These are the very beds I had charge ofwhen at No I A. G. H between the 'X's.  &also inside on the same floor,What is this about?,Banked to Wilfred
"Am glad Miss Taylor has left you, itwill be far better without her. Hope Miss Cutler doesn't come homeoften, don't encourage her. Am glad Charl has got work, itis a great relief. The success of recruiting campaign hasbucked all the troops up wonderful. Tell Mab I've got the copperdriving band off a Turks shell to makeinto a bangle for her",What is this about?,"Am glad Miss Taylor has left you, itwill be far better without her"
"Fri.  May 24, 1918 Weather: Raining, Chill Health: Good Up at 6:00.  Lt.  does us the honor.  Bathe feet in wet grass",What is this about?,Fri
have been as near death as they are ever likelyto be.  There is nothing to notice in anyaltered demeanor in the men except that theyseem a bit alter more light hearted.  Of courseour individual chances fill our mindsforemost but when they are spoken aboutit is always in a joking spirit.  PersonallyI feel exactly like I used to on the morningof any important boat race.  Perhaps whenwe are creeping through the scrub or waitingto land the reality of our risk will come hometo usBlackburn & Jose have gone on the battle cruiser,What is this about?,have been as near death as they are ever likelyto be
"Sat.  Jun.  1, 1918 Weather: Fine, warm Health: Good Up at 6:00.  Assemble for Reveille.  Back with the old gang after a nine days absence from formation",What is this about?,Sat
"Sat.  May 4, 1918 Weather: Partly cloudy, Cold Health: Good Up at 5:45.  Raining.  Reveille.  Breakfast",What is this about?,Sat
"9. 12. 1917My dear mother,I rather forget what day it was when Ilast wrote to you, but I have seen one or two fresh places since, sowill be able to tell you a few more things.  I don't think I told you ofthe church at Ramleh - the old Aruth Arimythea.  It was built someyears ago by the King of Spain on the site of an old church built by RichardCoeur de Lion",What is this about?,9
"Good Friday,April 2, 1915.  My Dear EileenI shall have to apply forpermission to alter my birthday to April 1st never dreamt of getting such a mailin my life.  It arrived the night before last & yesterday I got the pile.  There were your 84 pages covering from Jan 31st to Feb 25th (perfectletters every one) two from mother one eachfrom Lex, pa, Linda, Tom, Freda, Feo, Mr Richardson(my old schoolmaster) & Mr Follen Bishop.  Then therewere those very welcome knitted flannels, the Register& a Mail from Feo",What is this about?,"Good Friday,April 2, 1915"
30. 7. 1917My dear General -The very best ofthanks for yourcharming letter. Of course I am absolutelydelighted & the proudestman in all theworld : I can only say it was exceedinglyfortunate for me thatyou were not eligible!in spite of technicalitieswe always regard youas a 12th Lancer & areall very fond of theconnections. I'll tell Fane how sorryyou were first to havemissed seeing thembut I hope post-opsyou'll be able to makeit good soon,What is this about?,30
"Note address 1st Aust.  General Hospital,Heliopolis, EgyptJuly 19th, 1915.  My dear mother,We have just arrivedhere last night & are told that a mailleaves today so I am scribbling you somenews now.  I believe that our letters willbe censored in Sydney before reaching youtherefore I conclude that I must confinemy remarks to generalities leaving outanything prejudicial.  My last letter wassent from Aden & since then which isabout a week ago we have passed throughthat much dreaded stretch of water _the Red Sea",What is this about?,Note address 1st Aust
"My Dear Bertie, Have arrived in India for the purpose of relieving some A1 (military fitness category meaning capable of active service overseas) men here who have been here for a long period.  Its not a bad show here just above Delhi but so dead hot: risen to 106 degrees in the shade and we have more hot weather just coming.  Our parades are as follows 6. 30-7. 45 and 9 to 10 and finish for day",What is this about?,"My Dear Bertie, Have arrived in India for the purpose of relieving some A1 (military fitness category meaning capable of active service overseas) men here who have been here for a long period"
"Students are freely admitted to this country, and every facility given them to overcome any little technicality that may stand in their way.  In cases of even trachoma the students are allowed In cases of even ""trachoma the students are allowed to land provided they put themselves under the treatment of a competent doctor, and get thoroughly cured.  The students at Berkeley help the new arrivals, even coach them if they are found deficient in some subject, and most of them live together, and perfect harmony seems to prevail amongst them.  But the curse of the student life on this coast is the baneful effect of the political agitation that is carried on by some of the highly educated Hindoos of the type of Har Dyal.  Most of these students are infected by seditious ideas and doctrine promulgated by political agitators of the extremist class",What is this about?,"Students are freely admitted to this country, and every facility given them to overcome any little technicality that may stand in their way"
"May 10, 1918 Made call to all batteries in a. m.  and to wagon lines in p. m.  Have a full days work",What is this about?,"May 10, 1918 Made call to all batteries in a"
"German Spring Offensives The German Spring Offensives (21 March - 18 July 1918) represented a calculated gamble for Germany in trying to tip the balance on theWestern Frontonce and for all.  Operation 'Michael', the first of the offensives, began on the damp and misty morning of 21 March 1918.  British and Allied troops were met with a huge concentration of German artillery,gas(""https://www. iwm. org",What is this about?,German Spring Offensives The German Spring Offensives (21 March - 18 July 1918) represented a calculated gamble for Germany in trying to tip the balance on theWestern Frontonce and for all
"Tue.  Jun.  4, 1918 Weather: Fair, Warm Health: Good Up at 6:00.  A little later than rest of the men.  Pleased to hear that I will mess with my new platoon",What is this about?,Tue
I am now off to the Base Commandantswith the papers - Found theBase Commdt.  Gen McGregor at Mustaphaafter waiting some time I was informedthat I would be notified in due courseand that a boat was leaving onSaturday next.  Visited Mayers & got into a new suit I had ordered thereHad photo taken & left instructions forthem to be sent home.  Went out toGerman hospital.  (Deaconesses hospital)and saw Major Mason had a longyarn with him; he is improving fast& hopes to be fit again in about a fortnight,What is this about?,I am now off to the Base Commandantswith the papers - Found theBase Commdt
"any decoration as long as my boys finish up O. K. I heard from Boltons 3 days ago, - they seem tothink their Tommies are doing all the work - thebiggest mistake out as 3 divisions of Tommies failedat what our Division did at first try!!I have only war news to send - so must wind upAnyhow I'll go into action with the calm assurancethat I have done my duty to my men & to my countryIf I happen to fall, - rest content with theknowledge that I have played the game, and donemy job thoroughly, which is more than some folk in'khaki' can conscientiously affirmI am hopeful of getting through O. K, but you willknow long before you get this, - if you've heardnothing - well ""no news will be good news"" & I'm O. K",What is this about?,any decoration as long as my boys finish up O
"Dearest Mother & Father, I thought I would takea walk down to the G. P. O.  (Epsom) with the Post Cards I had written, as it was such a glorious afternoon.  I soon found this place, - a sort of Y",What is this about?,"Dearest Mother & Father, I thought I would takea walk down to the G"
"Fri.  Aug.  16, 1918 Weather: Fair, Warm Health: Suffering from effects of gas Up at 8, nauseous, eyes glassy and red, throat sore and lungs congested, no appetite.  Cough and blow my nose continuously.  Weak in general",What is this about?,Fri
THE RESIDENCYRAMLEHEGYPT. HIGH COMMISSIONERFOR EGYPT. 5th July 1917Dictated. My dear BirdwoodI am so much obliged to you for yourintensely interesting letter dated 20th May in which you weregood enough to enclose a copy of a letter which you had recentlywritten to the Governor General of Australia describing thefighting since your gallant Corps entered Bapaume.  I doindeed congratulate you and your magnificent troops most warmlyfor their splendid courage and devotion to duty in this grandand most successful advance,What is this about?,THE RESIDENCYRAMLEHEGYPT
"List of things since you left1 big linen table cloth for small bedroomtable2 d'oylies Gay Burns gave me2 I bought from Indian shop2 crocheted ones from Wills2 lace ones from Wills1 from Miss Bentley xmas day3 auntie Bessie gave me for xmas. 12 d'oylies since you went1 [[?]] white linen2 Huckaback towels, I hemstitched bothends & let crocheted lace in. 6 bluebird china plates for dessert1 "" "" bowl for fruit1 China earthenware teapot1 "" Milk jug (from Mother)1 White Meat dish (Fredas xmas present)1 lovely shell spoon I had plated1 picture of pyramids in gilt frame (from Lettie & Kathleen)1 picture (Linda's xmas present)1 suede pocket for matches(Nellie Armstrong's present)1 pce linen for camisoleover 7 yds Torchon lace forPillow shams. 10 large medallions (hand made)to let in nightgown3 small ones2 yds handmade lace forcamisole sleeves. Your 1 doz handkerchiefswith T on eachand a Gt white silk hdkf with ared border",What is this about?,List of things since you left1 big linen table cloth for small bedroomtable2 d'oylies Gay Burns gave me2 I bought from Indian shop2 crocheted ones from Wills2 lace ones from Wills1 from Miss Bentley xmas day3 auntie Bessie gave me for xmas
"Also received a Sydney mailfrom Newcastle & Herald fromI know not where.  1st Aust Gen.  HospitalSeptember 1st, 1915My dear mother,I am just writing another letter- the very last for this mail as it is just closingto say that I have at last received somemail - 6 letters.  Two from you dated 17th& 24th of July.  I suppose the others wereaddressed to me on the ship & missed me",What is this about?,Also received a Sydney mailfrom Newcastle & Herald fromI know not where
"Mon.  May 20, 1918 Weather: Fair, Warm Health: Good Cecilie's pictures come to me.  Up at 6:00.  Breakfast.  Bacon, very salty, which is responsible for an all day thirst, bread, coffee",What is this about?,Mon
Dear Flo Turn overJust a few lines to let you know that I receivedyour welcome letter yesterday and was glad to hear fromyou we are having a fairly good time here in france butJudging by the row that the guns make and the hum ofshells and bullets I am beginning to realise that there is awar on somewhere about here and if they do not stopthrowing bits of lead about and small Iron foundriesat one another I really think somebody will surely gethurt your letter found me in my little dugout in thetrench we are having a good time and have plenty ofcompany expesially of a night time the rats come andkiss us good night and run about over us just asthough we were a public roadway here for theirespecial benefit to play with while a guard one nightI passed a bit of the time away trying to Bayonet thembut could not get any of them they were to quick forme also to cunning I have not received the parcelthat you sent yet I will let you know as soon as I getit Bob is not back yet but will be with the Battin a couple of weeks time I had a letter from hima few days ago and he said that he is with thefirst Batch to reinforce so I hope to see him,What is this about?,Dear Flo Turn overJust a few lines to let you know that I receivedyour welcome letter yesterday and was glad to hear fromyou we are having a fairly good time here in france butJudging by the row that the guns make and the hum ofshells and bullets I am beginning to realise that there is awar on somewhere about here and if they do not stopthrowing bits of lead about and small Iron foundriesat one another I really think somebody will surely gethurt your letter found me in my little dugout in thetrench we are having a good time and have plenty ofcompany expesially of a night time the rats come andkiss us good night and run about over us just asthough we were a public roadway here for theirespecial benefit to play with while a guard one nightI passed a bit of the time away trying to Bayonet thembut could not get any of them they were to quick forme also to cunning I have not received the parcelthat you sent yet I will let you know as soon as I getit Bob is not back yet but will be with the Battin a couple of weeks time I had a letter from hima few days ago and he said that he is with thefirst Batch to reinforce so I hope to see him
"Monday Jan.  21, 1918 Weather: cold, clear Health: good Up at 6:00.  Reveille under arms.  Breakfast, bacon, bread, oatmeal, coffee.  A drunken brawl in Mess Hall",What is this about?,Monday Jan
"Since I wrote we have travelled very many miles, & arenow a good distance from the firing line.  Our boysare not yet in the Somme battle area - but we arebeing held up in readiness to take our part soon. At present we are being stiffened up - plenty of marches50th has footed over 40 miles last 3 days.  Entrained anddetrained twice, - and we are regular veterans asregards ""being on the tramp"".  All our gear is cut downto the minimum, - our transport follows us everywherein rear of each Co",What is this about?,"Since I wrote we have travelled very many miles, & arenow a good distance from the firing line"
